"","word","is_concrete"
"1","attention",FALSE
"2","benefit",FALSE
"3","breadth",FALSE
"4","breakup",FALSE
"5","caution",FALSE
"6","completion",FALSE
"7","concept",FALSE
"8","concordance",FALSE
"9","consent",FALSE
"10","craziness",FALSE
"11","curiosity",FALSE
"12","desire",FALSE
"13","discomfort",FALSE
"14","eloquence",FALSE
"15","fairness",FALSE
"16","federation",FALSE
"17","forte",FALSE
"18","geopolitics",FALSE
"19","homey",FALSE
"20","immunity",FALSE
"21","inertness",FALSE
"22","intensifier",FALSE
"23","jarring",FALSE
"24","justification",FALSE
"25","kinetics",FALSE
"26","letdown",FALSE
"27","longevity",FALSE
"28","lowbrow",FALSE
"29","malcontent",FALSE
"30","maleness",FALSE
"31","midweek",FALSE
"32","miracle",FALSE
"33","motive",FALSE
"34","plainness",FALSE
"35","prejudice",FALSE
"36","presumption",FALSE
"37","psychology",FALSE
"38","reaction",FALSE
"39","realness",FALSE
"40","reckoning",FALSE
"41","revisionist",FALSE
"42","sensibility",FALSE
"43","simile",FALSE
"44","simplification",FALSE
"45","someway",FALSE
"46","taker",FALSE
"47","urge",FALSE
"48","velocity",FALSE
"49","wickedness",FALSE
"50","woe",FALSE
"51","cannibal",TRUE
"52","cascade",TRUE
"53","chlorophyll",TRUE
"54","country",TRUE
"55","county",TRUE
"56","entrails",TRUE
"57","hydrochloride",TRUE
"58","hypothermia",TRUE
"59","jig",TRUE
"60","laceration",TRUE
"61","lacquer",TRUE
"62","lighting",TRUE
"63","menthol",TRUE
"64","peddler",TRUE
"65","pentagram",TRUE
"66","pinstripe",TRUE
"67","provider",TRUE
"68","speakeasy",TRUE
"69","castle",TRUE
"70","chandelier",TRUE
"71","classroom",TRUE
"72","converter",TRUE
"73","cyclist",TRUE
"74","defendant",TRUE
"75","florist",TRUE
"76","knitter",TRUE
"77","landmine",TRUE
"78","lather",TRUE
"79","mouthful",TRUE
"80","opiate",TRUE
"81","orator",TRUE
"82","register",TRUE
"83","steroids",TRUE
"84","tollhouse",TRUE
"85","turtledove",TRUE
"86","whirlpool",TRUE
"87","whistle",TRUE
"88","corkscrew",TRUE
"89","footballer",TRUE
"90","goldfish",TRUE
"91","matchstick",TRUE
"92","melon",TRUE
"93","oilcan",TRUE
"94","pinwheel",TRUE
"95","rhubarb",TRUE
"96","scallop",TRUE
"97","stocking",TRUE
"98","therapist",TRUE
"99","tongs",TRUE
"100","underclothing",TRUE
