"","word","is_concrete"
"1","abstention",FALSE
"2","activation",FALSE
"3","allure",FALSE
"4","assertion",FALSE
"5","callousness",FALSE
"6","comeback",FALSE
"7","compliance",FALSE
"8","contempt",FALSE
"9","default",FALSE
"10","depravity",FALSE
"11","dilemma",FALSE
"12","duress",FALSE
"13","elegance",FALSE
"14","excellency",FALSE
"15","exertion",FALSE
"16","exposure",FALSE
"17","falsehood",FALSE
"18","hatred",FALSE
"19","heyday",FALSE
"20","humor",FALSE
"21","info",FALSE
"22","instinct",FALSE
"23","intonation",FALSE
"24","jinx",FALSE
"25","lack",FALSE
"26","lingo",FALSE
"27","loss",FALSE
"28","manifestation",FALSE
"29","morals",FALSE
"30","naivete",FALSE
"31","outrage",FALSE
"32","pause",FALSE
"33","peacetime",FALSE
"34","persuasion",FALSE
"35","prodigal",FALSE
"36","prognosis",FALSE
"37","rawness",FALSE
"38","repute",FALSE
"39","rightness",FALSE
"40","scheme",FALSE
"41","secrecy",FALSE
"42","situation",FALSE
"43","spirit",FALSE
"44","sterility",FALSE
"45","supposition",FALSE
"46","tolerance",FALSE
"47","turnoff",FALSE
"48","uprising",FALSE
"49","vow",FALSE
"50","witchery",FALSE
"51","apostrophe",TRUE
"52","bogey",TRUE
"53","borehole",TRUE
"54","breath",TRUE
"55","cartwheel",TRUE
"56","combustion",TRUE
"57","downpour",TRUE
"58","ebony",TRUE
"59","ejector",TRUE
"60","flock",TRUE
"61","heroine",TRUE
"62","hobgoblin",TRUE
"63","honeymoon",TRUE
"64","laryngitis",TRUE
"65","mastectomy",TRUE
"66","monogram",TRUE
"67","mourner",TRUE
"68","outback",TRUE
"69","respiration",TRUE
"70","suite",TRUE
"71","taster",TRUE
"72","transcript",TRUE
"73","warhorse",TRUE
"74","headmistress",TRUE
"75","huckleberry",TRUE
"76","orangutan",TRUE
"77","phonograph",TRUE
"78","prowler",TRUE
"79","spaceship",TRUE
"80","violinist",TRUE
"81","beer",TRUE
"82","blowtorch",TRUE
"83","breasts",TRUE
"84","calender",TRUE
"85","cheesecloth",TRUE
"86","chowder",TRUE
"87","cousin",TRUE
"88","encyclopedia",TRUE
"89","junk",TRUE
"90","mayonnaise",TRUE
"91","pebble",TRUE
"92","postmaster",TRUE
"93","satchel",TRUE
"94","scrapbook",TRUE
"95","stair",TRUE
"96","stepsister",TRUE
"97","throat",TRUE
"98","trainer",TRUE
"99","trousers",TRUE
"100","waistcoat",TRUE
