"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","group","level"
"1","affection","7","Abstract",1,70185,1098.19,420.02,27,0.0752,1.0261,27,0.871,31,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63548374681491,2.52504480703685,"Noun",8.53,NA,NA
"2","alliteration","2","Abstract",1,20193,1273.88,530.22,24,0.6536,1.0727,24,0.8065,31,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Noun",13.86,NA,NA
"3","allure","2","Abstract",4,20963,853.52,241.63,31,-0.3371,0.7287,31,1,31,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49136169383427,1.44715803134222,"Noun",11.83,NA,NA
"4","amazement","4","Abstract",1,40191,973.57,332.01,30,-0.2256,0.7312,30,0.9375,32,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56820172406699,1.54406804435028,"Noun",9.22,NA,NA
"5","apparition","10","Abstract",3,100739,1136.93,453.43,27,0.3668,1.2859,27,0.8438,32,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60205999132796,1.47712125471966,"Noun",11.94,NA,NA
"6","assertion","8","Abstract",1,80180,1035.79,268.68,28,0.094,0.8111,28,0.9032,31,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17609125905568,1.17609125905568,"Noun",12.24,NA,NA
"7","atheism","8","Abstract",2,80426,1155.38,381.51,26,0.356,0.9814,26,0.8387,31,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.778151250383644,"Noun",12.69,NA,NA
"8","benediction","1","Abstract",3,10640,1254.11,451.37,27,0.8031,1.0456,27,0.9032,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14612803567824,1.11394335230684,"Noun",14.11,NA,NA
"9","benefit","9","Abstract",3,90639,1081.44,364.28,27,0.2358,0.8693,27,0.9,30,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86510397464113,2.74896286125616,"Noun",9.17,NA,NA
"10","breadth","8","Abstract",2,80424,1168.95,476.76,22,0.4047,1.0912,22,0.7097,31,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36172783601759,1.34242268082221,"Noun",11.38,NA,NA
