"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","group","level"
"21","credibility","5","Abstract",1,50232,1169.19,445.35,31,0.4374,0.9496,31,0.9688,32,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2148438480477,2.14612803567824,"Noun",12.37,NA,NA
"22","decadence","10","Abstract",2,100440,1293.81,608.75,26,0.7739,1.1295,26,0.8438,32,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47712125471966,1.39794000867204,"Noun",12.17,NA,NA
"23","deception","1","Abstract",4,10981,939.97,321.26,31,-0.0374,0.9797,31,1,31,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20682587603185,2.13353890837022,"Noun",10,NA,NA
"24","depiction","3","Abstract",3,30655,1313.96,540.08,25,0.9256,1.0959,25,0.8065,31,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23044892137827,1.20411998265592,"Noun",11.44,NA,NA
"25","desertion","1","Abstract",3,10698,1121.57,373.84,30,0.4207,0.9129,30,1,31,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5910646070265,1.53147891704226,"Noun",12.33,NA,NA
"26","dicey","5","Abstract",3,50712,1142.81,422.9,27,0.2928,1.0942,27,0.8438,32,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50514997831991,1.44715803134222,"Noun",12.65,NA,NA
"27","dilemma","7","Abstract",3,70716,1013.22,341.65,27,0.1164,1.0907,27,0.871,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12710479836481,2.06069784035361,"Noun",10.72,NA,NA
"28","doom","3","Abstract",4,30913,959.68,294.84,25,-0.0131,0.7482,25,0.8065,31,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45788189673399,2.2405492482826,"Noun",9.42,NA,NA
"29","duress","1","Abstract",1,10202,1079.29,473.55,28,0.0896,1.026,28,0.9032,31,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77815125038364,1.69019608002851,"Noun",14,NA,NA
"30","duty","3","Abstract",1,30187,1231.75,378.79,20,0.3406,1.1248,20,0.6129,31,2.19,23,1.782608696,1.04257207,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41497334797082,3.18525876529658,"Noun",7.15,NA,NA
"31","elegance","4","Abstract",4,40909,888.14,239.28,28,-0.1452,0.7404,28,0.875,32,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81954393554187,1.75587485567249,"Noun",9.61,NA,NA
"32","enigma","7","Abstract",2,70454,1183,422.03,25,0.7862,1.3476,25,0.8065,31,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68124123737559,1.64345267648619,"Noun",14.17,NA,NA
"33","euphemism","9","Abstract",2,90459,1033.21,356.46,28,0.157,1.0349,28,0.9333,30,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67209785793572,1.61278385671974,"Noun",14.38,NA,NA
"34","excellency","1","Abstract",2,10393,913.45,388.83,31,-0.2803,0.9284,31,1,31,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70757017609794,2.03342375548695,"Noun",NA,NA,NA
"35","exertion","9","Abstract",1,90239,1261.9,413.63,21,0.5992,1.0503,21,0.7,30,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20411998265592,1.11394335230684,"Noun",11.58,NA,NA
"36","existence","1","Abstract",3,10639,887.52,246.34,27,-0.3266,0.7057,27,0.9032,31,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77597433112937,2.67760695272049,"Noun",11.61,NA,NA
"37","fairness","3","Abstract",3,30649,966.1,358.94,29,-0.1876,0.6943,29,0.9355,31,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02118929906994,1.98227123303957,"Noun",5.61,NA,NA
"38","fault","2","Abstract",2,20446,1049.35,422.34,26,0.1656,1.2014,26,0.8065,31,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72517630141914,3.49164179347759,"Noun",6.94,NA,NA
"39","finality","6","Abstract",4,60985,1247.3,506.67,30,0.557,1.0668,30,1,31,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32221929473392,1.20411998265592,"Noun",12.5,NA,NA
"40","fixation","2","Abstract",4,20952,1038.22,339.48,27,0.1957,0.9201,27,0.871,31,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55630250076729,1.49136169383427,"Noun",11.33,NA,NA
"41","fluctuation","6","Abstract",2,60427,1163.3,355.21,23,0.6054,1.0483,23,0.7742,31,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25527250510331,1.17609125905568,"Noun",11.53,NA,NA
"42","fuss","1","Abstract",4,10974,979.24,317.51,25,0.0585,0.8627,25,0.8387,31,2.43,23,1.695652174,1.459600898,29,1.9,1.42,NA,NA,NA,NA,NA,NA,2.56229286445647,2.51188336097887,"Noun",5.5,NA,NA
"43","gaffe","10","Abstract",3,100691,1178.22,445.54,18,0.6962,1.2449,18,0.5625,32,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.477121254719662,"Noun",12.27,NA,NA
"44","geriatrics","8","Abstract",2,80497,1431,535.82,15,1.3635,1.2372,15,0.4516,31,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.903089986991944,"Noun",14.83,NA,NA
"45","giddiness","2","Abstract",2,20410,1106.71,491.87,28,0.3198,1.0003,28,0.9677,31,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.698970004336019,"Noun",11.62,NA,NA
"46","gumption","7","Abstract",2,70439,1232.46,436.52,24,0.8032,1.0995,24,0.8065,31,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39794000867204,1.36172783601759,"Noun",12.27,NA,NA
"47","heartbreak","7","Abstract",2,70483,1168.05,329.55,20,0.545,0.8943,20,0.6774,31,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05307844348342,1.89209460269048,"Noun",10.32,NA,NA
"48","humility","9","Abstract",4,90913,912.11,289.88,28,-0.1783,0.9454,28,0.9667,30,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0899051114394,1.99122607569249,"Noun",10.21,NA,NA
"49","idiocy","1","Abstract",1,10212,977.39,247.42,28,7e-04,0.9116,28,0.9032,31,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47712125471966,1.43136376415899,"Noun",11,NA,NA
"50","immunity","5","Abstract",1,50193,1158.11,469.85,28,0.3764,1.0669,28,0.875,32,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33645973384853,2.12385164096709,"Noun",12.26,NA,NA
"51","interest","6","Abstract",3,60715,1060.07,378.74,29,0.1599,1.1864,29,0.9355,31,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41480627950101,3.26221370547642,"Noun",7.37,NA,NA
"52","intuition","10","Abstract",2,100386,840.32,219.18,22,-0.4814,0.5938,22,0.7188,32,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24551266781415,2.13353890837022,"Noun",10.58,NA,NA
"53","inversion","1","Abstract",2,10410,1016.68,352.9,25,0.1489,0.9132,25,0.871,31,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14612803567824,0.954242509439325,"Noun",12.89,NA,NA
"54","jubilee","3","Abstract",1,30223,1246.17,545.43,6,0.4015,1.2589,6,0.2258,31,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6232492903979,1.38021124171161,"Noun",10.61,NA,NA
"55","judgment","8","Abstract",3,80726,968.1,353.89,29,-0.0974,0.8258,29,0.9355,31,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92427928606188,2.81756536955978,"Noun",8.939252,NA,NA
"56","liability","8","Abstract",1,80200,1092.64,352.32,28,0.0811,0.7335,28,0.9032,31,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20139712432045,2.13987908640124,"Noun",12.9,NA,NA
"57","liberty","1","Abstract",4,10952,985.38,359.39,29,0.0461,0.936,29,0.9355,31,1.85,24,1.666666667,1.403928236,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92941892571429,2.73239375982297,"Noun",8.83,NA,NA
"58","lifetime","2","Abstract",3,20629,1082.78,387.27,23,0.1312,0.902,23,0.7742,31,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96848294855394,2.88986172125819,"Noun",9,NA,NA
"59","longevity","2","Abstract",4,20973,942.39,350.64,31,-0.1225,0.9621,31,1,31,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46239799789896,1.41497334797082,"Noun",10.72,NA,NA
"60","lowbrow","10","Abstract",1,100167,1534.6,725.71,5,1.341,1.4056,5,0.125,32,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.903089986991944,"Noun",13.08,NA,NA
"61","lunacy","7","Abstract",1,70208,1060.21,218.03,29,0.1377,0.783,29,0.9032,31,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7160033436348,1.64345267648619,"Noun",10.58,NA,NA
"62","majesty","9","Abstract",4,90975,981.47,313.32,15,0.2517,0.9712,15,0.5333,30,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27044590801796,2.49276038902684,"Noun",7.63,NA,NA
"63","maleness","8","Abstract",1,80170,1379.44,406.26,18,1.1938,1.2984,18,0.5806,31,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.602059991327962,"Noun",11.21,NA,NA
"64","malice","8","Abstract",4,80977,938.76,281.12,25,-0.0991,0.7359,25,0.8065,31,1.72,25,1.8,1.224744871,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78532983501077,1.69019608002851,"Noun",12.33,NA,NA
"65","manner","3","Abstract",3,30723,1023.43,346,21,0.0699,0.6567,21,0.6774,31,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7701152947871,2.70070371714502,"Noun",6.83,NA,NA
"66","methodology","2","Abstract",4,20896,1144.09,461.26,22,0.5674,1.1689,22,0.7097,31,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53147891704226,1.38021124171161,"Noun",14.13,NA,NA
"67","midweek","5","Abstract",1,50181,1320.11,416.03,9,1.3255,1.4568,9,0.3125,32,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.845098040014257,"Noun",9.55,NA,NA
"68","morale","10","Abstract",1,100223,991,317.26,28,-0.1609,0.8672,28,0.875,32,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32428245529769,2.16435285578444,"Noun",10.62,NA,NA
"69","morals","5","Abstract",3,50700,955.41,239.69,29,-0.2415,0.6388,29,0.9063,32,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17609125905568,2.09342168516224,"Noun",9.749235,NA,NA
"70","motive","9","Abstract",2,90468,915.04,279.98,26,-0.2314,0.8079,26,0.8667,30,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82994669594164,2.58883172559421,"Noun",11.06,NA,NA
"71","neediness","1","Abstract",3,10668,930.86,360.92,29,-0.2232,0.8531,29,0.9677,31,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.602059991327962,"Noun",10.11,NA,NA
"72","niceness","8","Abstract",1,80132,956.67,441.83,27,-0.2844,1.0093,27,0.9032,31,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11394335230684,1.04139268515823,"Noun",5.17,NA,NA
"73","offense","2","Abstract",4,20943,937.81,372.82,26,0.0022,0.8542,26,0.871,31,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92479599579791,2.84073323461181,"Noun",8.61,NA,NA
"74","origin","4","Abstract",2,40431,1009.88,286.47,24,0.0968,0.8527,24,0.7813,32,2.03,29,1.724137931,1.77072527,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35793484700045,2.23044892137827,"Noun",10.25,NA,NA
"75","outset","4","Abstract",3,40711,1079.91,358.18,22,0.3817,1.0338,22,0.6875,32,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23044892137827,1.23044892137827,"Noun",11.78,NA,NA
"76","pardon","9","Abstract",2,90448,954.57,331.7,28,-0.0586,0.9441,28,0.9333,30,2.24,24,1.75,1.390964632,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5182506513085,3.25261034056737,"Noun",7.83,NA,NA
"77","pause","1","Abstract",1,10153,1109.62,333.95,21,0.1914,1.0836,21,0.6452,31,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44090908206522,2.31386722036915,"Noun",6.75,NA,NA
"78","perversity","3","Abstract",1,30191,1375.97,574.21,31,0.7432,1.1391,31,1,31,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.845098040014257,"Noun",14.38,NA,NA
"79","phoniness","4","Abstract",2,40459,1219.31,381.77,29,0.7133,0.8782,29,0.875,32,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.698970004336019,"Noun",11.55,NA,NA
"80","pomp","3","Abstract",2,30389,1337.47,437.72,15,1.242,1.1762,15,0.4839,31,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32221929473392,1.27875360095283,"Noun",12.38,NA,NA
"81","presumption","7","Abstract",1,70126,1097.13,462.03,30,0.1075,1.0073,30,0.9355,31,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5910646070265,1.47712125471966,"Noun",14.28,NA,NA
"82","pride","1","Abstract",2,10437,864.82,223.21,28,-0.4197,0.5786,28,0.9032,31,1.66,26,1.730769231,1.588903831,30,1.73,1.66,NA,NA,NA,NA,NA,NA,3.14983469671578,2.97173959088778,"Noun",8.95,NA,NA
"83","prominence","6","Abstract",1,60176,1182.44,476.15,27,0.2578,1.026,27,0.871,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23044892137827,1.14612803567824,"Noun",12.61,NA,NA
"84","promptness","7","Abstract",4,70881,972.23,414.86,30,0.0405,0.9801,30,0.9677,31,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.845098040014257,"Noun",10.89,NA,NA
"85","prowess","1","Abstract",3,10708,1042.65,334.61,26,0.1001,0.7773,26,0.871,31,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61278385671974,1.55630250076729,"Noun",13,NA,NA
"86","qualifier","7","Abstract",3,70653,1172.11,479.25,18,0.505,1.2903,18,0.5806,31,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.778151250383644,"Noun",12.89,NA,NA
"87","redemption","10","Abstract",1,100162,1012.5,305.26,30,-0.0942,0.8891,30,0.9375,32,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05307844348342,1.96378782734556,"Noun",10.89,NA,NA
"88","rendering","10","Abstract",1,100247,1128.32,407.48,25,0.2136,1.084,25,0.8125,32,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74036268949424,1.60205999132796,"Noun",NA,NA,NA
"89","situation","5","Abstract",3,50709,1081.83,489.26,23,0.0099,1.2493,23,0.7813,32,2.03,29,1.965517241,1.657941034,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62407573114568,3.39898106665813,"Noun",9.26,NA,NA
"90","someway","5","Abstract",1,50157,1083.43,455.06,28,0.184,1.1249,28,0.9063,32,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.698970004336019,"Noun",7.06,NA,NA
"91","sterility","5","Abstract",2,50488,1165.86,419.24,21,0.5347,1.2643,21,0.6875,32,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.954242509439325,"Noun",13.72,NA,NA
"92","strategy","8","Abstract",2,80421,1098.39,454.92,23,0.2228,1.1427,23,0.7097,31,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68394713075151,2.5705429398819,"Noun",8.5,NA,NA
"93","summation","4","Abstract",2,40398,1053.24,326.1,25,0.3658,1.3269,25,0.7813,32,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53147891704226,1.41497334797082,"Noun",13.59,NA,NA
"94","thrill","4","Abstract",3,40685,974.75,286.94,28,0.0431,0.8281,28,0.875,32,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63346845557959,2.54654266347813,"Noun",8.37,NA,NA
"95","undertone","7","Abstract",2,70499,1277.07,426.4,15,0.9828,0.9281,15,0.4839,31,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",11.61,NA,NA
"96","upbringing","4","Abstract",2,40478,1087.19,393.27,26,0.3066,0.8475,26,0.8125,32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77815125038364,1.75587485567249,"Noun",9.26,NA,NA
"97","uprising","10","Abstract",4,100955,995.61,313.53,28,0.0943,1.0033,28,0.875,32,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77815125038364,1.64345267648619,"Noun",11.17,NA,NA
"98","vow","4","Abstract",2,40420,1277.94,520.6,16,0.639,1.2509,16,0.5625,32,2.42,22,1.772727273,1.509708839,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44247976906445,2.30319605742049,"Noun",9.32,NA,NA
"99","weirdness","10","Abstract",1,100128,1125.89,393.91,28,0.2312,0.9796,28,0.8438,32,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69019608002851,1.65321251377534,"Noun",8.61,NA,NA
"100","woe","9","Abstract",2,90470,992.42,261.36,26,0.1235,0.7995,26,0.9,30,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07918124604762,1.93951925261862,"Noun",10.75,NA,NA
"101","anthropologist","10","Concrete",1,100032,1002.72,410.05,32,-0.159,0.8864,32,1,32,4,27,3.555555556,1.928198309,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73239375982297,1.63346845557959,"Noun",12.56,"[1.28,3.68]","low"
"102","apostrophe","6","Concrete",4,60799,1311.48,646.68,25,0.8069,1.361,25,0.7742,31,3.88,21,1.523809524,1.077916862,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11394335230684,1.04139268515823,"Noun",8.39,"[1.28,3.68]","low"
"103","breath","5","Concrete",1,50115,968.23,276.38,31,-0.0449,0.9979,31,0.9688,32,4.36,26,3.346153846,2.261721604,30,2.33,2.06,NA,NA,NA,NA,NA,NA,3.36021461329535,3.20520436394814,"Noun",5.81,"[1.28,3.68]","low"
"104","cascade","1","Concrete",3,10618,1295.88,443.31,17,1.141,1.2693,17,0.5806,31,3.83,23,1.608695652,1.157549545,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51851393987789,1.25527250510331,"Noun",12.3,"[1.28,3.68]","low"
"105","cleanness","8","Concrete",3,80573,1415.43,649.66,7,1.1829,1.2279,7,0.2258,31,3.61,28,2.285714286,1.978722799,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.477121254719662,"Noun",6.56,"[1.28,3.68]","low"
"106","collision","4","Concrete",3,40556,1058.36,331.02,25,0.3503,1.0758,25,0.7813,32,3.61,23,2.565217391,1.829706558,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13987908640124,2.00432137378264,"Noun",9.05,"[1.28,3.68]","low"
"107","committee","8","Concrete",2,80291,947.64,312.01,28,-0.1803,0.7866,28,0.9032,31,4.14,26,2.307692308,1.715091386,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05076631123304,2.72345567203519,"Noun",9.83,"[1.28,3.68]","low"
"108","confinement","2","Concrete",2,20371,1201.71,492.54,7,0.5271,0.8529,7,0.2258,31,3.61,25,1.84,1.247664485,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61278385671974,1.5910646070265,"Noun",10.7,"[1.28,3.68]","low"
"109","country","10","Concrete",4,100782,790.24,251.38,29,-0.6544,0.4889,29,0.9063,32,4.17,25,3.36,2.07926269,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91671707759881,3.51838231554534,"Noun",7.05,"[1.28,3.68]","low"
"110","ejector","3","Concrete",4,30830,920.63,328.69,27,-0.1954,0.655,27,0.871,31,3.67,23,2.956521739,2.099312893,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20411998265592,1,"Noun",9.86,"[1.28,3.68]","low"
"111","entrails","1","Concrete",4,10851,1028.06,306.77,17,0.3612,0.9711,17,0.5484,31,4.58,22,3.136363636,1.884661257,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66275783168157,1.56820172406699,"Noun",14.06,"[1.28,3.68]","low"
