"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","group","level"
"1","abruptness","6","Abstract",3,60746,962.27,298.22,30,-0.1561,0.7269,30,0.9677,31,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.698970004336019,"Noun",12.39,NA,NA
"2","abstention","5","Abstract",1,50192,1089.79,267.86,29,0.4263,0.972,29,0.9375,32,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.778151250383644,"Noun",15.19,NA,NA
"3","adjunct","7","Abstract",1,70153,1067.72,364.52,25,-0.0073,0.9669,25,0.8387,31,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.845098040014257,"Noun",13.06,NA,NA
"4","affront","2","Abstract",2,20496,1039.04,426.43,28,0.0975,0.7195,28,0.9032,31,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49136169383427,1.44715803134222,"Noun",12.44,NA,NA
"5","angst","6","Abstract",1,60127,966.43,288.2,21,-0.272,0.5875,21,0.7097,31,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68124123737559,1.65321251377534,"Noun",13.12,NA,NA
"6","anomaly","6","Abstract",3,60639,1123.45,479.61,29,0.1565,1.083,29,0.9355,31,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80617997398389,1.75587485567249,"Noun",12.44,NA,NA
"7","apocalypse","5","Abstract",3,50630,1203.9,536.95,10,0.3527,0.995,10,0.3125,32,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10380372095596,1.96378782734556,"Noun",12.78,NA,NA
"8","appeal","1","Abstract",4,10970,972.6,355.45,30,-1e-04,0.987,30,0.9677,31,1.73,23,1.652173913,1.112274314,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82216807936802,2.68752896121463,"Noun",10.21,NA,NA
"9","assessment","10","Abstract",1,100182,1135.04,495.99,23,0.2575,1.2961,23,0.6875,32,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20139712432045,2.12385164096709,"Noun",11.95,NA,NA
"10","assurance","8","Abstract",2,80471,1054.62,423.75,29,0.2314,1.2024,29,0.9677,31,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02118929906994,1.94448267215017,"Noun",12.33,NA,NA
"11","astrology","8","Abstract",4,80918,1137.77,323.62,13,0.4801,0.6958,13,0.4194,31,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68124123737559,1.5910646070265,"Noun",9.53,NA,NA
"12","attention","All","Abstract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70182693039714,3.47726599542485,"Noun",6.78,NA,NA
"13","betrayal","4","Abstract",4,40997,888.77,325.43,30,-0.1934,0.8639,30,0.9677,31,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33645973384853,2.28330122870355,"Noun",9.78,NA,NA
"14","bourgeoisie","1","Abstract",2,10500,1393.5,670.53,8,0.9246,1.1769,8,0.2258,31,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20411998265592,0.954242509439325,"Noun",14.64,NA,NA
"15","callousness","5","Abstract",2,50440,1114.43,301.51,30,0.4391,0.9732,30,0.9375,32,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954242509439325,0.903089986991944,"Noun",11.19,NA,NA
"16","completion","5","Abstract",2,50410,1205.21,330.54,28,0.7371,1.0382,28,0.9375,32,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90308998699194,1.85733249643127,"Noun",8.56,NA,NA
"17","concept","9","Abstract",4,90884,959.26,254.71,27,0.0882,0.979,27,0.9333,30,1.41,25,1.8,1.755942292,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74350976472843,2.64542226934909,"Noun",11.44,NA,NA
"18","condition","3","Abstract",4,30965,1017.33,370.01,24,0.2016,1.0722,24,0.8065,31,2.15,23,1.434782609,1.308228746,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28712962071911,3.13861843389949,"Noun",8.42,NA,NA
"19","convenience","2","Abstract",3,20639,1031.43,414.58,30,0.1191,0.9861,30,0.9677,31,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39093510710338,2.30102999566398,"Noun",10.17,NA,NA
"20","credence","1","Abstract",1,10130,1276.23,546.83,26,0.6845,1.3082,26,0.871,31,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34242268082221,1.34242268082221,"Noun",13.06,NA,NA
